"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"70_6D_07","70_6D","70",0,-0.875,0,0,NA,691.37,476.78,NA,NA
"70_6D_07","70_6D","70",1,-0.75,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",2,-0.625,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",3,-0.5,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",4,-0.375,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",5,-0.25,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",6,-0.125,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",7,0,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",8,0.125,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",9,0.25,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",10,0.375,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",11,0.5,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",12,0.625,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",13,0.75,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",14,0.875,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",15,1,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",16,1.125,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",17,1.25,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",18,1.375,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",19,1.5,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",20,1.625,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",21,1.75,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",22,1.875,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",23,2,0,0,NA,691.37,476.78,0,0
"70_6D_07","70_6D","70",24,2.125,0,0,NA,691.37,476.78,0,0
