,frame,x,y,blobs,blob_size,sec,distance,dot_product
0,0,41.37,370.78,0,,-1.5,,
1,1.0,41.37,370.78,0,,-1.375,0.0,
2,2.0,41.37,370.78,0,,-1.25,0.0,0.0
3,3.0,41.37,370.78,0,,-1.125,0.0,0.0
4,4.0,41.37,370.78,0,,-1.0,0.0,0.0
5,5.0,41.37,370.78,0,,-0.875,0.0,0.0
6,6.0,41.37,370.78,0,,-0.75,0.0,0.0
7,7.0,41.37,370.78,0,,-0.625,0.0,0.0
8,8.0,41.37,370.78,0,,-0.5,0.0,0.0
9,9.0,41.37,370.78,0,,-0.375,0.0,0.0
10,10.0,41.37,370.78,0,,-0.25,0.0,0.0
11,11.0,41.37,370.78,0,,-0.125,0.0,0.0
12,12.0,41.37,370.78,0,,0.0,0.0,0.0
13,13.0,41.37,370.78,0,,0.125,0.0,0.0
14,14.0,41.37,370.78,0,,0.25,0.0,0.0
15,15.0,41.37,370.78,0,,0.375,0.0,0.0
16,16.0,41.37,370.78,0,,0.5,0.0,0.0
17,17.0,41.37,370.78,0,,0.625,0.0,0.0
18,18.0,41.37,370.78,0,,0.75,0.0,0.0
19,19.0,41.37,370.78,0,,0.875,0.0,0.0
20,20.0,41.37,370.78,0,,1.0,0.0,0.0
21,21.0,41.37,370.78,0,,1.125,0.0,0.0
22,22.0,41.37,370.78,0,,1.25,0.0,0.0
23,23.0,41.37,370.78,0,,1.375,0.0,0.0
24,24.0,41.37,370.78,0,,1.5,0.0,0.0
25,25.0,41.37,370.78,0,,1.625,0.0,0.0
26,26.0,41.37,370.78,0,,1.75,0.0,0.0
27,27.0,41.37,370.78,0,,1.875,0.0,0.0
28,28.0,41.37,370.78,0,,2.0,0.0,0.0
29,29.0,41.37,370.78,0,,2.125,0.0,0.0
30,30.0,41.37,370.78,0,,2.25,0.0,0.0
31,31.0,41.37,370.78,0,,2.375,0.0,0.0
32,32.0,41.37,370.78,0,,2.5,0.0,0.0
33,33.0,41.37,370.78,0,,2.625,0.0,0.0
34,34.0,41.37,370.78,0,,2.75,0.0,0.0
35,35.0,41.37,370.78,0,,2.875,0.0,0.0
36,36.0,41.37,370.78,0,,3.0,0.0,0.0
37,37.0,41.37,370.78,0,,3.125,0.0,0.0
38,38.0,41.37,370.78,0,,3.25,0.0,0.0
39,39.0,41.37,370.78,0,,3.375,0.0,0.0
40,40.0,41.37,370.78,0,,3.5,0.0,0.0
41,41.0,41.37,370.78,0,,3.625,0.0,0.0
42,42.0,41.37,370.78,0,,3.75,0.0,0.0
43,43.0,41.37,370.78,0,,3.875,0.0,0.0
44,44.0,41.37,370.78,0,,4.0,0.0,0.0
45,45.0,41.37,370.78,0,,4.125,0.0,0.0
46,46.0,41.37,370.78,0,,4.25,0.0,0.0
47,47.0,41.37,370.78,0,,4.375,0.0,0.0
48,48.0,41.37,370.78,0,,4.5,0.0,0.0
49,49.0,41.37,370.78,0,,4.625,0.0,0.0
50,50.0,41.37,370.78,0,,4.75,0.0,0.0
51,51.0,41.37,370.78,0,,4.875,0.0,0.0
52,52.0,41.37,370.78,1.0,3.6131675243377686,5.0,0.0,0.0
53,53.0,41.34,369.89,1.0,4.692133903503418,5.125,0.8905054744357136,0.0
54,54.0,41.0,369.15,1.0,4.011234283447266,5.25,0.8143709228601029,0.6687999999999961
55,55.0,41.15,369.45,1.0,3.864551067352295,5.375,0.335410196624978,-0.2730000000000112
56,56.0,41.15,369.45,0,,5.5,0.0,-0.0
57,57.0,41.15,369.45,0,,5.625,0.0,0.0
58,58.0,41.15,369.45,0,,5.75,0.0,0.0
59,59.0,41.15,369.45,0,,5.875,0.0,0.0
60,60.0,41.15,369.45,0,,6.0,0.0,0.0
61,61.0,41.15,369.45,0,,6.125,0.0,0.0
62,62.0,41.15,369.45,0,,6.25,0.0,0.0
63,63.0,41.15,369.45,0,,6.375,0.0,0.0
64,64.0,41.15,369.45,0,,6.5,0.0,0.0
65,65.0,41.15,369.45,0,,6.625,0.0,0.0
66,66.0,41.15,369.45,0,,6.75,0.0,0.0
67,67.0,41.15,369.45,0,,6.875,0.0,0.0
68,68.0,41.15,369.45,0,,7.0,0.0,0.0
69,69.0,41.15,369.45,0,,7.125,0.0,0.0
70,70.0,41.15,369.45,0,,7.25,0.0,0.0
71,71.0,41.15,369.45,0,,7.375,0.0,0.0
72,72.0,41.15,369.45,0,,7.5,0.0,0.0
73,73.0,41.15,369.45,0,,7.625,0.0,0.0
74,74.0,41.15,369.45,0,,7.75,0.0,0.0
75,75.0,41.15,369.45,0,,7.875,0.0,0.0
76,76.0,41.15,369.45,0,,8.0,0.0,0.0
77,77.0,41.15,369.45,0,,8.125,0.0,0.0
78,78.0,41.15,369.45,0,,8.25,0.0,0.0
79,79.0,41.15,369.45,0,,8.375,0.0,0.0
80,80.0,41.15,369.45,0,,8.5,0.0,0.0
81,81.0,41.15,369.45,0,,8.625,0.0,0.0
82,82.0,41.15,369.45,0,,8.75,0.0,0.0
83,83.0,41.15,369.45,0,,8.875,0.0,0.0
84,84.0,41.15,369.45,0,,9.0,0.0,0.0
85,85.0,41.15,369.45,0,,9.125,0.0,0.0
86,86.0,41.15,369.45,0,,9.25,0.0,0.0
87,87.0,41.15,369.45,0,,9.375,0.0,0.0
88,88.0,41.15,369.45,0,,9.5,0.0,0.0
89,89.0,41.15,369.45,0,,9.625,0.0,0.0
90,90.0,41.15,369.45,0,,9.75,0.0,0.0
91,91.0,41.15,369.45,0,,9.875,0.0,0.0
92,92.0,41.15,369.45,0,,10.0,0.0,0.0
93,93.0,41.15,369.45,0,,10.125,0.0,0.0
94,94.0,41.15,369.45,0,,10.25,0.0,0.0
95,95.0,41.15,369.45,0,,10.375,0.0,0.0
96,96.0,41.15,369.45,0,,10.5,0.0,0.0
97,97.0,41.15,369.45,0,,10.625,0.0,0.0
98,98.0,41.15,369.45,0,,10.75,0.0,0.0
99,99.0,41.15,369.45,0,,10.875,0.0,0.0
100,100.0,41.15,369.45,0,,11.0,0.0,0.0
101,101.0,41.15,369.45,0,,11.125,0.0,0.0
102,102.0,41.15,369.45,0,,11.25,0.0,0.0
103,103.0,41.15,369.45,0,,11.375,0.0,0.0
104,104.0,41.15,369.45,0,,11.5,0.0,0.0
105,105.0,41.15,369.45,0,,11.625,0.0,0.0
106,106.0,41.15,369.45,0,,11.75,0.0,0.0
107,107.0,41.15,369.45,0,,11.875,0.0,0.0
108,108.0,41.15,369.45,0,,12.0,0.0,0.0
109,109.0,41.15,369.45,0,,12.125,0.0,0.0
110,110.0,41.15,369.45,0,,12.25,0.0,0.0
111,111.0,41.15,369.45,0,,12.375,0.0,0.0
112,112.0,41.15,369.45,0,,12.5,0.0,0.0
113,113.0,41.15,369.45,0,,12.625,0.0,0.0
114,114.0,41.15,369.45,0,,12.75,0.0,0.0
115,115.0,40.71,363.16,1.0,3.945650577545166,12.875,6.305370726610731,0.0
116,116.0,40.71,363.16,0,,13.0,0.0,0.0
117,117.0,40.71,363.16,0,,13.125,0.0,0.0
